UBIGEO;PROVINCIA;DISTRITO;N° EVALUADOS;N° NIÑOS CON ANEMIA;AÑO;ZONAS
1;Cangallo;Cangallo;21;6;2023;Zona Norte
1;Cangallo;Cangallo;21;6;2023;Zona Sur
1;Cangallo;Cangallo;21;6;2023;Zona Este
1;Cangallo;Cangallo;21;6;2023;Zona Oeste
1;Cangallo;Cangallo;21;6;2023;Zona Centro
1;Cangallo;Cangallo;21;6;2023;Zona Noreste
1;Cangallo;Cangallo;20;5;2023;Zona Noroeste
1;Cangallo;Cangallo;20;5;2023;Zona Sureste
1;Cangallo;Cangallo;20;5;2023;Zona Suroeste
2;Cangallo;Chuschi;26;11;2023;Zona Norte
2;Cangallo;Chuschi;26;11;2023;Zona Sur
2;Cangallo;Chuschi;26;11;2023;Zona Este
2;Cangallo;Chuschi;26;11;2023;Zona Oeste
2;Cangallo;Chuschi;26;11;2023;Zona Centro
2;Cangallo;Chuschi;26;11;2023;Zona Noreste
2;Cangallo;Chuschi;26;11;2023;Zona Noroeste
2;Cangallo;Chuschi;25;10;2023;Zona Sureste
2;Cangallo;Chuschi;25;10;2023;Zona Suroeste
3;Cangallo;Los Morochucos;41;9;2023;Zona Norte
3;Cangallo;Los Morochucos;41;9;2023;Zona Sur
3;Cangallo;Los Morochucos;41;9;2023;Zona Este
3;Cangallo;Los Morochucos;41;9;2023;Zona Oeste
3;Cangallo;Los Morochucos;41;9;2023;Zona Centro
3;Cangallo;Los Morochucos;41;9;2023;Zona Noreste
3;Cangallo;Los Morochucos;40;8;2023;Zona Noroeste
3;Cangallo;Los Morochucos;40;8;2023;Zona Sureste
3;Cangallo;Los Morochucos;40;8;2023;Zona Suroeste
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Norte
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Sur
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Este
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Oeste
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Centro
4;Cangallo;María Parado de Bellido;11;3;2023;Zona Noreste
4;Cangallo;María Parado de Bellido;10;3;2023;Zona Noroeste
4;Cangallo;María Parado de Bellido;10;3;2023;Zona Sureste
4;Cangallo;María Parado de Bellido;10;2;2023;Zona Suroeste
5;Cangallo;Paras;18;8;2023;Zona Norte
5;Cangallo;Paras;18;8;2023;Zona Sur
5;Cangallo;Paras;18;8;2023;Zona Este
5;Cangallo;Paras;18;8;2023;Zona Oeste
5;Cangallo;Paras;18;8;2023;Zona Centro
5;Cangallo;Paras;17;8;2023;Zona Noreste
5;Cangallo;Paras;17;7;2023;Zona Noroeste
5;Cangallo;Paras;17;7;2023;Zona Sureste
5;Cangallo;Paras;17;7;2023;Zona Suroeste
6;Cangallo;Totos;11;5;2023;Zona Norte
6;Cangallo;Totos;11;5;2023;Zona Sur
6;Cangallo;Totos;11;5;2023;Zona Este
6;Cangallo;Totos;10;5;2023;Zona Oeste
6;Cangallo;Totos;10;4;2023;Zona Centro
6;Cangallo;Totos;10;4;2023;Zona Noreste
6;Cangallo;Totos;10;4;2023;Zona Noroeste
6;Cangallo;Totos;10;4;2023;Zona Sureste
6;Cangallo;Totos;10;4;2023;Zona Suroeste
7;Huamanga;Acocro;40;26;2023;Zona Norte
7;Huamanga;Acocro;40;26;2023;Zona Sur
7;Huamanga;Acocro;39;26;2023;Zona Este
7;Huamanga;Acocro;39;26;2023;Zona Oeste
7;Huamanga;Acocro;39;26;2023;Zona Centro
7;Huamanga;Acocro;39;25;2023;Zona Noreste
7;Huamanga;Acocro;39;25;2023;Zona Noroeste
7;Huamanga;Acocro;39;25;2023;Zona Sureste
7;Huamanga;Acocro;39;25;2023;Zona Suroeste
